name,points,car,nationality
Verstappen,341,Red Bull,Netherlands
Leclerc,237,Ferrari,Monaco
Perez,235,Red Bull,Mexico
Russel,203,Mercedes,Great Britain
Sainz,202,Ferrari,Spain
Hamilton,170,Mercedes,Great Britain
Norris,100,Mclaren,Great Britain
Ocon,66,Alpine,France
Alonso,59,Alpine,Spain
Bottas,46,Alfa Romeo,Finland
Ricciardo,29,Mclaren,Aus
Vettel,24,Aston Martin,Germany
Gasly,23,Alphatuari,France
Magnussen,22,Haas,Denmark
Lance,13,Aston Martin,Canada
Schumacher,12,Haas,Germany
Tsunoda,11,Alphatuari,Japan
Zhuo,6,Alfa Romeo,China
Albon,4,Williams,Thailand
De Vries,2,Williams,Netherlands
Latifii,0,Williams,Canada
Hulkenberg,0,Aston Martin,Germany
