country,no_of_drivers,total wins,most_successful,lat,lng
UK,164,307,Lewis Hamilton,55.3781,3.4360
Italy,98,43,Alberto Ascari,44.3439,11.7167
France,74,81,Alain Prost,,43.2506,5.79167
USA,57,33,Mario Andretti,25.9581,-80.2389
Germany,48,179,Michael Schumacher,51.1657,10.4515
Brazil,31,101,Ayrton Senna,14.235,51.9253
Argentina,22,38,Juan Manuel Fangio,38.4161,63.6167
Switzerland,22,7,Clay Regazzoni,46.8182,8.2275
Belgium,20,11,Jacky Ickx,50.5039,4.4699
Japan,18,0,Takuma Sato,36.2048,138.2529
South Africa,17,10,Jody Scheckter,30.5595,22.9375
Netherlands,16,31,Max Verstappen,52.1326,5.2913
Austria,14,41,Niki Lauda,47.5162,14.5501
Australia,13,43,Jack Brabham,25.2744,133.7751
Canada,13,17,Jacques Villeneuve,56.1304,106.3468
Spain,13,33,Fernando Alonso,40.4637,3.7492
Sweden,10,12,Ronnie Peterson,60.1282,18.6435
New Zealand,9,12,Denny Hulme,40.9006,174.886
Finland,8,57,Mika Hakkinen,61.9241,25.7482
Mexico,6,6,Sergio Perez,23.6345,102.5528
